iter	Logloss
0	0.6504289946
1	0.613164522
2	0.5805680553
3	0.5526380198
4	0.4226107327
5	0.401726775
6	0.3835508588
7	0.3689854682
8	0.356560626499	0.347103871411010	0.4025075011	0.3916860622
12	0.3818133339
13	0.3736986672
14	0.3636764164
15	0.356604104
16	0.3499626223
17	0.3446976351
18	0.3391453021
19	0.3340961978
20	0.3298765365
21	0.326055146
22	0.3219321589
23	0.3187615644
24	0.3156585145
25	0.3123888033
26	0.3097677512
27	0.3074455619
28	0.3048320511
29	0.3029411661
30	0.3012250711
31	0.2991794513
32	0.2972138131
33	0.2959211995
34	0.2944054356
35	0.2928510042
36	0.2915737298
37	0.2905225247
38	0.2892157829
39	0.2877305267
40	0.2863586878
41	0.2854851366
42	0.2842715657
43	0.2834299532
44	0.2825015763
45	0.2818094495
46	0.2806890435
47	0.2799023424848	0.2788904149	0.2687674046
50	0.2682340817
51	0.2677440023
52	0.2671998688
553	0.2759731688554	0.54	0.27542555	0.2748874475656	0.56	0.27457	57	0.2738510555858	0.2727878155959	0.2722497666060	0.2716445766161	0.2710221686262	0.2704182936363	0.2697144227
64	64	0.2691797465	0.2687235007
66	66	0.2682167767	0.2678041776
68	68	0.2670165469	69	0.26651
