iter	Passed	Remaining
0	392	195760
1	647	161220
2	899	149095
3	1138	141115
4	1395	138114
5	1643	135289
6	1889	133043
7	2146	132014
8	2412	131604
9	2669	130781
10	2931	130335
11	3213	130693
12	3477	130277
13	3734	129642
14	3982	128774
15	4227	127893
16	4493	127673
17	4743	127017
18	4982	126141
19	5239	125752
20	5496	125365
21	5754	125028
22	6010	124661
23	6291	124772
24	6525	123992
25	6787	123738
26	7034	123230
27	7303	123112
28	7548	122605
29	7791	122068
30	8052	121822
31	8316	121625
32	8572	121309
33	8835	121092
34	9082	120664
35	9361	120657
36	9607	120229
37	9873	120038
38	10125	119686
39	10378	119358
40	10649	119223
41	10889	118747
42	11140	118402
43	11408	118233
44	11655	117853
45	11898	117434
46	12157	117175
47	12426	117015
48	12676	116673
49	12915	116235
50	13169	115944
51	13427	115679
52	13683	115405
53	13929	115046
54	14190	114816
55	14470	114733
56	14719	114400
57	14981	114170
58	15261	114069
59	15512	113760
60	15761	113429
61	16027	113227
62	16280	112930
63	16541	112687
64	16763	112184
65	16992	111737
66	17247	111466
67	17502	111191
68	17761	110947
69	18020	110697
70	18307	110619
71	18547	110254
72	18802	109981
73	19054	109693
74	19327	109520
75	19600	109348
76	19851	109055
77	20121	108864
78	20393	108680
79	20639	108356
80	20887	108046
81	21145	107788
82	21428	107658
83	21695	107445
84	21949	107166
85	22185	106798
86	22480	106717
87	22744	106485
88	23011	106265
89	23259	105957
90	23519	105709
91	23781	105465
92	24037	105195
93	24327	105075
94	24564	104722
95	24815	104429
96	25072	104166
97	25335	103927
98	25596	103676
99	25879	103518
100	26147	103294
101	26406	103036
102	26658	102751
103	26903	102440
104	27162	102182
105	27435	101978
106	27682	101676
107	27948	101441
108	28198	101153
109	28472	100947
110	28732	100694
111	29006	100486
112	29256	100197
113	29506	99907
114	29753	99610
115	29995	99295
116	30271	99093
117	30535	98852
118	30754	98464
119	30991	98138
120	31236	97840
121	31523	97670
122	31771	97381
123	32033	97133
124	32316	96949
125	32576	96694
126	32835	96436
127	33090	96168
128	33384	96013
129	33631	95720
130	33900	95491
131	34159	95232
132	34404	94936
133	34643	94623
134	34903	94368
135	35185	94173
136	35451	93933
137	35694	93634
138	35940	93342
139	36180	93035
140	36429	92753
141	36671	92452
142	36937	92214
143	37213	92000
144	37488	91781
145	37748	91526
146	38000	91253
147	38228	90922
148	38485	90659
149	38735	90383
150	39002	90144
151	39272	89912
152	39549	89697
153	39795	89411
154	40056	89157
155	40333	88941
156	40591	88679
157	40863	88451
158	41110	88168
159	41374	87919
160	41635	87667
161	41877	87373
162	42122	87087
163	42401	86871
164	42665	86622
165	42937	86392
166	43189	86120
167	43452	85870
168	43707	85605
169	43971	85355
170	44232	85102
171	44483	84829
172	44744	84574
173	44987	84287
174	45229	83996
175	45501	83763
176	45754	83495
177	46004	83221
178	46251	82942
179	46479	82629
180	46752	82397
181	47003	82126
182	47259	81864
183	47525	81619
184	47787	81367
185	48029	81082
186	48286	80821
187	48551	80574
188	48810	80318
189	49070	80062
190	49337	79818
191	49589	79550
192	49850	79296
193	50091	79010
194	50342	78740
195	50583	78456
196	50826	78174
197	51074	77902
198	51352	77674
199	51604	77406
200	51862	77149
201	52114	76881
202	52355	76598
203	52625	76358
204	52902	76127
205	53137	75836
206	53385	75564
207	53656	75324
208	53920	75075
209	54184	74825
210	54435	74559
211	54683	74286
212	54934	74020
213	55158	73716
214	55407	73447
215	55666	73191
216	55967	72989
217	56213	72717
218	56472	72459
219	56717	72186
220	56960	71909
221	57226	71661
222	57486	71407
223	57773	71185
224	58011	70902
225	58284	70662
226	58534	70395
227	58805	70153
228	59072	69906
229	59323	69641
230	59585	69387
231	59848	69135
232	60111	68883
233	60370	68626
234	60609	68346
235	60852	68072
236	61121	67826
237	61387	67578
238	61625	67297
239	61881	67038
240	62122	66762
241	62350	66472
242	62611	66218
243	62855	65946
244	63084	65659
245	63341	65401
246	63595	65140
247	63841	64870
248	64087	64601
249	64348	64348
250	64614	64099
251	64885	63855
252	65149	63604
253	65403	63343
254	65663	63087
255	65918	62828
256	66172	62567
257	66431	62311
258	66691	62056
259	66950	61800
260	67206	61541
261	67431	61254
262	67673	60983
263	67939	60734
264	68278	60548
265	68660	60400
266	68994	60208
267	69410	60087
268	69847	59980
269	70162	59767
270	70518	59589
271	70847	59387
272	71157	59167
273	71533	59001
274	71818	58760
275	72138	58546
276	72428	58309
277	72724	58074
278	72994	57820
279	73251	57554
280	73529	57305
281	73804	57054
282	74078	56802
283	74379	56570
284	74662	56324
285	74978	56102
286	75248	55846
287	75535	55602
288	75842	55372
289	76117	55119
290	76395	54868
291	76646	54597
292	76946	54361
293	77182	54080
294	77468	53834
295	77757	53589
296	78044	53343
297	78312	53084
298	78586	52829
299	78894	52596
300	79164	52337
301	79444	52086
302	79748	51849
303	80054	51614
304	80349	51370
305	80607	51104
306	80880	50846
307	81185	50608
308	81461	50352
309	81732	50093
310	82020	49844
311	82321	49604
312	82583	49339
313	82868	49087
314	83148	48833
315	83436	48583
316	83730	48336
317	84036	48096
318	84305	47834
319	84596	47585
320	84880	47331
321	85166	47079
322	85468	46835
323	85754	46582
324	86038	46328
325	86356	46091
326	86645	45840
327	86923	45581
328	87195	45320
329	87458	45054
330	87701	44777
331	87966	44513
332	88228	44246
333	88505	43987
334	88785	43729
335	89075	43477
336	89378	43230
337	89654	42970
338	89934	42712
339	90206	42450
340	90495	42195
341	90806	41951
342	91100	41699
343	91398	41448
344	91684	41191
345	91971	40935
346	92263	40680
347	92583	40438
348	92838	40167
349	93124	39910
350	93454	39671
351	93748	39417
352	94044	39163
